,turn,assassin,algorithm,data,seed,cb,ci
212,7,1,1,AI_dataset\wup_sim_mat.npz,1668885673,0.8,0.002
213,6,0,1,AI_dataset\wup_sim_mat.npz,592020510,0.8,0.002
214,5,1,1,AI_dataset\wup_sim_mat.npz,639431775,0.8,0.002
215,7,0,1,AI_dataset\wup_sim_mat.npz,2055405236,0.8,0.002
216,3,1,1,AI_dataset\wup_sim_mat.npz,231872003,0.8,0.002
217,6,0,1,AI_dataset\wup_sim_mat.npz,233760283,0.8,0.002
218,3,1,1,AI_dataset\wup_sim_mat.npz,1130850212,0.8,0.002
219,5,0,1,AI_dataset\wup_sim_mat.npz,333423813,0.8,0.002
220,5,1,1,AI_dataset\wup_sim_mat.npz,1982344195,0.8,0.002
221,5,1,1,AI_dataset\wup_sim_mat.npz,1830143886,0.8,0.002
222,2,1,1,AI_dataset\wup_sim_mat.npz,155096627,0.8,0.002
223,5,1,1,AI_dataset\wup_sim_mat.npz,1016797524,0.8,0.002
224,3,1,1,AI_dataset\wup_sim_mat.npz,1769986019,0.8,0.002
225,6,1,1,AI_dataset\wup_sim_mat.npz,238922116,0.8,0.002
226,4,1,1,AI_dataset\wup_sim_mat.npz,1614316044,0.8,0.002
227,3,1,1,AI_dataset\wup_sim_mat.npz,736948582,0.8,0.002
228,5,0,1,AI_dataset\wup_sim_mat.npz,507888607,0.8,0.002
229,5,0,1,AI_dataset\wup_sim_mat.npz,878427418,0.8,0.002
230,5,1,1,AI_dataset\wup_sim_mat.npz,1355625463,0.8,0.002
231,7,0,1,AI_dataset\wup_sim_mat.npz,1556239959,0.8,0.002
232,4,1,1,AI_dataset\wup_sim_mat.npz,1150815332,0.8,0.002
233,4,0,1,AI_dataset\wup_sim_mat.npz,1430297212,0.8,0.002
234,4,1,1,AI_dataset\wup_sim_mat.npz,758589409,0.8,0.002
235,6,1,1,AI_dataset\wup_sim_mat.npz,1904640645,0.8,0.002
236,6,1,1,AI_dataset\wup_sim_mat.npz,969437725,0.8,0.002
237,5,0,1,AI_dataset\wup_sim_mat.npz,451886063,0.8,0.002
238,7,0,1,AI_dataset\wup_sim_mat.npz,2139802173,0.8,0.002
239,7,0,1,AI_dataset\wup_sim_mat.npz,705582344,0.8,0.002
240,6,0,1,AI_dataset\wup_sim_mat.npz,1632436846,0.8,0.002
241,3,1,1,AI_dataset\wup_sim_mat.npz,2141207134,0.8,0.002
242,4,0,1,AI_dataset\wup_sim_mat.npz,1097799373,0.8,0.002
243,5,0,1,AI_dataset\wup_sim_mat.npz,775363239,0.8,0.002
244,2,1,1,AI_dataset\wup_sim_mat.npz,409253677,0.8,0.002
245,3,0,1,AI_dataset\wup_sim_mat.npz,1283367613,0.8,0.002
246,7,0,1,AI_dataset\wup_sim_mat.npz,1532135717,0.8,0.002
247,5,0,1,AI_dataset\wup_sim_mat.npz,712825958,0.8,0.002
248,6,1,1,AI_dataset\wup_sim_mat.npz,800942480,0.8,0.002
249,5,0,1,AI_dataset\wup_sim_mat.npz,1088640420,0.8,0.002
250,6,1,1,AI_dataset\wup_sim_mat.npz,1538431233,0.8,0.002
251,7,0,1,AI_dataset\wup_sim_mat.npz,136528092,0.8,0.002
252,2,1,1,AI_dataset\wup_sim_mat.npz,1400503354,0.8,0.002
253,6,1,1,AI_dataset\wup_sim_mat.npz,1650611845,0.8,0.002
254,5,0,1,AI_dataset\wup_sim_mat.npz,1740998370,0.8,0.002
255,6,0,1,AI_dataset\wup_sim_mat.npz,1764071187,0.8,0.002
256,5,0,1,AI_dataset\wup_sim_mat.npz,1078803046,0.8,0.002
257,4,0,1,AI_dataset\wup_sim_mat.npz,1967073755,0.8,0.002
258,3,1,1,AI_dataset\wup_sim_mat.npz,1600643225,0.8,0.002
259,6,1,1,AI_dataset\wup_sim_mat.npz,404726215,0.8,0.002
260,5,1,1,AI_dataset\wup_sim_mat.npz,1865236308,0.8,0.002
261,3,1,1,AI_dataset\wup_sim_mat.npz,1230070776,0.8,0.002
262,6,1,1,AI_dataset\wup_sim_mat.npz,305601157,0.8,0.002
263,4,1,1,AI_dataset\wup_sim_mat.npz,175956490,0.8,0.002
264,2,1,1,AI_dataset\wup_sim_mat.npz,2061913144,0.8,0.002
265,4,1,1,AI_dataset\wup_sim_mat.npz,1720097726,0.8,0.002
266,5,0,1,AI_dataset\wup_sim_mat.npz,320833972,0.8,0.002
267,4,1,1,AI_dataset\wup_sim_mat.npz,916290066,0.8,0.002
268,4,1,1,AI_dataset\wup_sim_mat.npz,238832035,0.8,0.002
269,6,0,1,AI_dataset\wup_sim_mat.npz,676410673,0.8,0.002
270,4,0,1,AI_dataset\wup_sim_mat.npz,351452732,0.8,0.002
271,7,0,1,AI_dataset\wup_sim_mat.npz,969426297,0.8,0.002
272,6,0,1,AI_dataset\wup_sim_mat.npz,712793384,0.8,0.002
273,6,1,1,AI_dataset\wup_sim_mat.npz,237034194,0.8,0.002
274,5,0,1,AI_dataset\wup_sim_mat.npz,1062517349,0.8,0.002
275,2,1,1,AI_dataset\wup_sim_mat.npz,1423437966,0.8,0.002
276,3,0,1,AI_dataset\wup_sim_mat.npz,1022195236,0.8,0.002
277,5,0,1,AI_dataset\wup_sim_mat.npz,1646262174,0.8,0.002
278,5,0,1,AI_dataset\wup_sim_mat.npz,1026683402,0.8,0.002
279,6,0,1,AI_dataset\wup_sim_mat.npz,2061031886,0.8,0.002
280,1,1,1,AI_dataset\wup_sim_mat.npz,290829504,0.8,0.002
281,5,0,1,AI_dataset\wup_sim_mat.npz,106818500,0.8,0.002
282,3,1,1,AI_dataset\wup_sim_mat.npz,851573124,0.8,0.002
283,6,1,1,AI_dataset\wup_sim_mat.npz,943988437,0.8,0.002
284,8,0,1,AI_dataset\wup_sim_mat.npz,1754670034,0.8,0.002
285,4,1,1,AI_dataset\wup_sim_mat.npz,459086351,0.8,0.002
286,6,0,1,AI_dataset\wup_sim_mat.npz,1838465015,0.8,0.002
287,5,0,1,AI_dataset\wup_sim_mat.npz,1459443395,0.8,0.002
288,6,1,1,AI_dataset\wup_sim_mat.npz,352791198,0.8,0.002
289,5,0,1,AI_dataset\wup_sim_mat.npz,1035742282,0.8,0.002
290,1,1,1,AI_dataset\wup_sim_mat.npz,1055568612,0.8,0.002
291,6,0,1,AI_dataset\wup_sim_mat.npz,1085044329,0.8,0.002
292,5,0,1,AI_dataset\wup_sim_mat.npz,1579941028,0.8,0.002
293,1,1,1,AI_dataset\wup_sim_mat.npz,903279675,0.8,0.002
294,2,1,1,AI_dataset\wup_sim_mat.npz,1642606361,0.8,0.002
295,4,0,1,AI_dataset\wup_sim_mat.npz,1011848855,0.8,0.002
296,3,0,1,AI_dataset\wup_sim_mat.npz,1262518007,0.8,0.002
297,6,0,1,AI_dataset\wup_sim_mat.npz,967822800,0.8,0.002
